Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Datetime,,,,,
2026-01-07 14:30:00+00:00,482.7699890136719,482.7699890136719,477.95001220703125,479.55999755859375,995311
2026-01-07 14:35:00+00:00,483.2550048828125,483.79998779296875,481.8800048828125,482.7699890136719,495484
2026-01-07 14:40:00+00:00,483.95599365234375,485.1199951171875,482.8399963378906,483.2196960449219,446272
2026-01-07 14:45:00+00:00,483.3550109863281,484.760009765625,483.2900085449219,483.9549865722656,299696
2026-01-07 14:50:00+00:00,483.3500061035156,484.1000061035156,483.20001220703125,483.3550109863281,179675
2026-01-07 14:55:00+00:00,483.6600036621094,483.92999267578125,483.260009765625,483.3500061035156,156780
2026-01-07 15:00:00+00:00,482.82000732421875,483.82000732421875,482.42010498046875,483.67999267578125,205149
2026-01-07 15:05:00+00:00,483.31500244140625,483.510009765625,482.5,482.8550109863281,156465
2026-01-07 15:10:00+00:00,483.7550048828125,484.1000061035156,483.1700134277344,483.3500061035156,211313
2026-01-07 15:15:00+00:00,484.07000732421875,484.1600036621094,483.0799865722656,483.80499267578125,170419
2026-01-07 15:20:00+00:00,482.864990234375,484.1000061035156,482.760009765625,484.07000732421875,227654
2026-01-07 15:25:00+00:00,483.4100036621094,483.6000061035156,482.7749938964844,482.9100036621094,112009
2026-01-07 15:30:00+00:00,484.67999267578125,484.69000244140625,483.3599853515625,483.3800048828125,154125
2026-01-07 15:35:00+00:00,486.44000244140625,486.45001220703125,484.67999267578125,484.67999267578125,390707
2026-01-07 15:40:00+00:00,486.385009765625,486.8999938964844,485.7200012207031,486.44000244140625,334845
2026-01-07 15:45:00+00:00,486.7900085449219,487.3699951171875,486.2799987792969,486.3599853515625,214196
2026-01-07 15:50:00+00:00,486.8399963378906,487.3999938964844,486.6199951171875,486.81500244140625,146334
2026-01-07 15:55:00+00:00,487.7149963378906,487.7300109863281,486.55999755859375,486.80999755859375,147306
2026-01-07 16:00:00+00:00,489.6499938964844,489.6994934082031,487.7377014160156,487.739990234375,304601
2026-01-07 16:05:00+00:00,489.5350036621094,489.67999267578125,489.3299865722656,489.6099853515625,3985227
2026-01-07 16:10:00+00:00,488.6400146484375,488.7959899902344,488.6199951171875,488.760009765625,0
2026-01-07 16:15:00+00:00,488.7300109863281,489.010009765625,488.3800048828125,488.6400146484375,167079
2026-01-07 16:20:00+00:00,488.05999755859375,488.7598876953125,487.9241027832031,488.7598876953125,187574
2026-01-07 16:25:00+00:00,487.7300109863281,488.1600036621094,487.5799865722656,488.05499267578125,155445
2026-01-07 16:30:00+00:00,486.92498779296875,487.7699890136719,486.8999938964844,487.7300109863281,149728
2026-01-07 16:35:00+00:00,486.9049987792969,487.2174987792969,486.79998779296875,486.94000244140625,110627
2026-01-07 16:40:00+00:00,487.4700012207031,487.80999755859375,486.9049987792969,486.9100036621094,176200
2026-01-07 16:45:00+00:00,487.9599914550781,488.389892578125,487.30999755859375,487.45001220703125,158479
2026-01-07 16:50:00+00:00,487.89691162109375,488.260009765625,487.7200012207031,487.9700012207031,88509
2026-01-07 16:55:00+00:00,487.8800048828125,488.0498962402344,487.6499938964844,487.94000244140625,82781
2026-01-07 17:00:00+00:00,487.8750915527344,488.0799865722656,487.6199951171875,487.8500061035156,113618
2026-01-07 17:05:00+00:00,488.3999938964844,488.6400146484375,487.79998779296875,487.8750915527344,151233
2026-01-07 17:10:00+00:00,488.46319580078125,488.75,488.1700134277344,488.4100036621094,109756
2026-01-07 17:15:00+00:00,488.510009765625,488.80999755859375,488.17010498046875,488.4457092285156,150712
2026-01-07 17:20:00+00:00,487.82501220703125,488.5950012207031,487.7799987792969,488.5,149187
2026-01-07 17:25:00+00:00,488.2300109863281,488.239990234375,487.57000732421875,487.8399963378906,97124
2026-01-07 17:30:00+00:00,487.92999267578125,488.2900085449219,487.6600036621094,488.19000244140625,136921
2026-01-07 17:35:00+00:00,488.5350036621094,488.8599853515625,487.8100891113281,487.94000244140625,102982
2026-01-07 17:40:00+00:00,488.8749084472656,488.93499755859375,488.385009765625,488.5299987792969,85379
2026-01-07 17:45:00+00:00,488.81201171875,489.1650085449219,488.70001220703125,488.9800109863281,120124
2026-01-07 17:50:00+00:00,488.43670654296875,488.81500244140625,488.19000244140625,488.81500244140625,121053
2026-01-07 17:55:00+00:00,488.8699951171875,488.9999084472656,488.3599853515625,488.43499755859375,110100
2026-01-07 18:00:00+00:00,488.55999755859375,488.94000244140625,488.3901062011719,488.8699951171875,111285
2026-01-07 18:05:00+00:00,488.3949890136719,488.69000244140625,488.3100891113281,488.5199890136719,89878
2026-01-07 18:10:00+00:00,488.3500061035156,488.4200134277344,488.0,488.3949890136719,67860
2026-01-07 18:15:00+00:00,488.3500061035156,488.5,487.95001220703125,488.3550109863281,89712
2026-01-07 18:20:00+00:00,488.6300048828125,488.6300048828125,488.1600036621094,488.3399963378906,77987
2026-01-07 18:25:00+00:00,488.3200988769531,488.7099914550781,488.1700134277344,488.6499938964844,82390
2026-01-07 18:30:00+00:00,488.54998779296875,488.5799865722656,488.2099914550781,488.3599853515625,95165
2026-01-07 18:35:00+00:00,488.3399963378906,488.57000732421875,488.2301025390625,488.5400085449219,76262
2026-01-07 18:40:00+00:00,488.4100036621094,488.5799865722656,488.32000732421875,488.3599853515625,86053
2026-01-07 18:45:00+00:00,488.7160949707031,488.8500061035156,488.29998779296875,488.4200134277344,111143
2026-01-07 18:50:00+00:00,488.1199951171875,488.75,487.95001220703125,488.7099914550781,102712
2026-01-07 18:55:00+00:00,487.5799865722656,488.1499938964844,487.5400085449219,488.1000061035156,81113
2026-01-07 19:00:00+00:00,486.7900085449219,487.606689453125,486.69000244140625,487.606689453125,93947
2026-01-07 19:05:00+00:00,486.625,486.8699951171875,486.3399963378906,486.80999755859375,111212
2026-01-07 19:10:00+00:00,485.92999267578125,486.6700134277344,485.7900085449219,486.6199951171875,120865
2026-01-07 19:15:00+00:00,485.7799987792969,485.9700012207031,485.3599853515625,485.94500732421875,116232
2026-01-07 19:20:00+00:00,485.3522033691406,485.8800048828125,485.260009765625,485.739990234375,79760
2026-01-07 19:25:00+00:00,485.489990234375,485.5299987792969,485.2001037597656,485.364990234375,81895
2026-01-07 19:30:00+00:00,485.4049987792969,485.5,485.2200012207031,485.4800109863281,72388
2026-01-07 19:35:00+00:00,485.260009765625,485.5,485.1099853515625,485.4049987792969,76550
2026-01-07 19:40:00+00:00,485.1700134277344,485.364990234375,484.9100036621094,485.2560119628906,87177
2026-01-07 19:45:00+00:00,485.38299560546875,485.4800109863281,485.1700134277344,485.1899108886719,80575
2026-01-07 19:50:00+00:00,485.30999755859375,485.4100036621094,485.0450134277344,485.3995056152344,65546
2026-01-07 19:55:00+00:00,484.9849853515625,485.3924865722656,484.9599914550781,485.3299865722656,66017
2026-01-07 20:00:00+00:00,484.8005065917969,485.215087890625,484.75,485.0,81906
2026-01-07 20:05:00+00:00,484.8450012207031,485.0400085449219,484.70001220703125,484.8299865722656,60427
2026-01-07 20:10:00+00:00,484.3500061035156,484.8599853515625,484.1400146484375,484.8377990722656,93206
2026-01-07 20:15:00+00:00,484.3900146484375,484.8219909667969,484.19500732421875,484.3500061035156,114275
2026-01-07 20:20:00+00:00,484.6600036621094,484.8099060058594,484.3500061035156,484.3900146484375,132830
2026-01-07 20:25:00+00:00,484.55999755859375,484.909912109375,484.4049987792969,484.69000244140625,99336
2026-01-07 20:30:00+00:00,484.35009765625,484.55999755859375,484.1499938964844,484.5199890136719,135816
2026-01-07 20:35:00+00:00,483.885009765625,484.3699951171875,483.5199890136719,484.3699951171875,125518
